stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
2464,,Lazdijų g.,,54.86317,23.88684,https://www.stops.lt/kaunas/index.html#stop/146,,
2454,,S.Dariaus ir S.Girėno aerodromas,,54.87695,23.89200,https://www.stops.lt/kaunas/index.html#stop/135,,
4694,,Sodai,,54.84962,23.88175,https://www.stops.lt/kaunas/index.html#stop/231,,
4695,,Sodai,,54.85023,23.88226,https://www.stops.lt/kaunas/index.html#stop/236,,
2435,,Vytauto Didžiojo tiltas,,54.89275,23.88848,https://www.stops.lt/kaunas/index.html#stop/114,,
6193,,Vytauto Didžiojo tiltas,,54.89248,23.88925,https://www.stops.lt/kaunas/index.html#stop/748,,
2583,,Amaliai,,54.89831,24.01603,https://www.stops.lt/kaunas/index.html#stop/287,,
2584,,Amaliai,,54.89801,24.01518,https://www.stops.lt/kaunas/index.html#stop/288,,
2581,,Sodai,,54.90062,24.01996,https://www.stops.lt/kaunas/index.html#stop/285,,
2582,,Sodai,,54.90030,24.01932,https://www.stops.lt/kaunas/index.html#stop/286,,
2578,,Viržių g.,,54.90244,24.02373,https://www.stops.lt/kaunas/index.html#stop/346,,
2579,,Viržių g.,,54.90239,24.02303,https://www.stops.lt/kaunas/index.html#stop/347,,
2585,,Kauno keliai,,54.89412,24.00804,https://www.stops.lt/kaunas/index.html#stop/289,,
2586,,Kauno keliai,,54.89412,24.00759,https://www.stops.lt/kaunas/index.html#stop/290,,
14582,,Avilių g.,,54.86339,23.89791,https://www.stops.lt/kaunas/index.html#stop/781,,
14423,,Prezidento V. Adamkaus gimnazija,,54.86714,23.90119,https://www.stops.lt/kaunas/index.html#stop/780,,
2479,,Vinčų g.,,54.87427,23.91462,https://www.stops.lt/kaunas/index.html#stop/164,,
14520,,Vinčų g.,,54.87507,23.91227,https://www.stops.lt/kaunas/index.html#stop/163,,
2468,,Gvazdikų g.,,54.85721,23.90560,https://www.stops.lt/kaunas/index.html#stop/152,,
2470,,Lekėčių g.,,54.86202,23.91041,https://www.stops.lt/kaunas/index.html#stop/155,,
2469,,Gvazdikų g.,,54.85687,23.90578,https://www.stops.lt/kaunas/index.html#stop/153,,
5035,,Kiečių g.,,54.86651,23.89102,https://www.stops.lt/kaunas/index.html#stop/700,,
5036,,Kiečių g.,,54.86625,23.89127,https://www.stops.lt/kaunas/index.html#stop/701,,
2466,,Seniavos pl.,,54.86314,23.89707,https://www.stops.lt/kaunas/index.html#stop/150,,
2467,,Seniavos pl.,,54.86261,23.89776,https://www.stops.lt/kaunas/index.html#stop/151,,
2847,,E. Ožeškienės g.,,54.89802,23.90247,https://www.stops.lt/kaunas/index.html#stop/567,,
2852,,Gedimino g.,,54.89874,23.91994,https://www.stops.lt/kaunas/index.html#stop/572,,
2850,,L. Sapiegos g.,,54.89928,23.90705,https://www.stops.lt/kaunas/index.html#stop/570,,
2851,,Studentų skveras,,54.89897,23.91432,https://www.stops.lt/kaunas/index.html#stop/571,,
2855,,Gedimino g.,,54.89538,23.92221,https://www.stops.lt/kaunas/index.html#stop/575,,
2853,,Muzikinis teatras,,54.89603,23.90614,https://www.stops.lt/kaunas/index.html#stop/573,,
2854,,S. Daukanto g.,,54.89577,23.91290,https://www.stops.lt/kaunas/index.html#stop/574,,
2750,,Dainava,,54.91136,23.98010,https://www.stops.lt/kaunas/index.html#stop/469,,
2751,,Dainava,,54.91145,23.97957,https://www.stops.lt/kaunas/index.html#stop/470,,
2752,,Draugystės žiedas,,54.91163,23.97575,https://www.stops.lt/kaunas/index.html#stop/471,,
2732,,Draugystės parkas,,54.91631,23.97347,https://www.stops.lt/kaunas/index.html#stop/451,,
2733,,Draugystės parkas,,54.91586,23.97352,https://www.stops.lt/kaunas/index.html#stop/452,,
2726,,Turgavietė,,54.91973,23.96940,https://www.stops.lt/kaunas/index.html#stop/445,,
2727,,Turgavietė,,54.92102,23.96737,https://www.stops.lt/kaunas/index.html#stop/446,,
2639,,Biruliškės,,54.92990,23.99410,https://www.stops.lt/kaunas/index.html#stop/282,,
2640,,Biruliškės,,54.92988,23.99345,https://www.stops.lt/kaunas/index.html#stop/283,,
2647,,Dvarčionių keramika,,54.92779,23.97697,https://www.stops.lt/kaunas/index.html#stop/356,,
2648,,Dvarčionių keramika,,54.92836,23.97845,https://www.stops.lt/kaunas/index.html#stop/357,,
2641,,Parduotuvė,,54.93054,23.98783,https://www.stops.lt/kaunas/index.html#stop/349,,
2642,,Parduotuvė,,54.93062,23.98657,https://www.stops.lt/kaunas/index.html#stop/350,,
4370,,Partizanų g.,,54.92644,23.99920,https://www.stops.lt/kaunas/index.html#stop/6,,
4371,,Partizanų g.,,54.92596,23.99878,https://www.stops.lt/kaunas/index.html#stop/8,,
4419,,Partizanų g.,,54.92665,23.99888,https://www.stops.lt/kaunas/index.html#stop/186,,
2651,,Kauno kolegija,,54.91956,23.98314,https://www.stops.lt/kaunas/index.html#stop/360,,
2652,,Kauno kolegija,,54.92121,23.98127,https://www.stops.lt/kaunas/index.html#stop/361,,
2649,,Pramonės pr.,,54.92520,23.97629,https://www.stops.lt/kaunas/index.html#stop/358,,
2650,,Pramonės pr.,,54.92406,23.97818,https://www.stops.lt/kaunas/index.html#stop/359,,
